City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Bayburt,83,TR,1561621191,60.9,6.8,40.26,40.22,79
Sao Filipe,0,CV,1561621192,74.22,24.23,14.9,-24.5,84
Barrow,100,AR,1561621142,46.32,15.66,-38.31,-60.23,49
Mataura,36,NZ,1561621192,50,4,-46.19,168.86,90
San Quintin,100,PH,1561621192,79.8,8.43,17.54,120.52,86
Srednekolymsk,33,RU,1561621193,69.36,20.98,67.46,153.71,32
Mana,0,NG,1561621193,87.54,14.85,13.03,5.27,55
Port Elizabeth,1,US,1561621193,75.2,6.93,39.31,-74.98,94
Jamestown,1,AU,1561621194,57.84,12.66,-33.21,138.6,60
Arlit,52,NE,1561620900,96.9,10.38,18.74,7.39,23
Ushuaia,90,AR,1561621150,28.4,28.86,-54.81,-68.31,100
Port Lincoln,100,AU,1561621195,63.78,20.49,-34.72,135.86,65
Stryn,75,NO,1561621195,57,2.24,61.9,6.72,81
Rumford,90,US,1561621195,63,2.01,44.55,-70.55,87
Lebu,75,ET,1561621196,66.2,5.82,8.96,38.73,68
Makakilo City,90,US,1561621143,80.01,3.36,21.35,-158.09,100
Buenos Aires,0,AR,1561621138,50,13.87,-34.61,-58.44,61
Deputatskiy,0,RU,1561621197,71.7,12.44,69.3,139.9,21
Saldanha,26,PT,1561621197,74.04,4,41.42,-6.55,53
Bauchi,27,NG,1561621198,87.9,3.2,10.31,9.85,46
Port Alfred,0,ZA,1561621147,61,4,-33.59,26.89,76
Pavlikeni,0,BG,1561621199,77,2.24,43.24,25.31,83
Erzin,40,TR,1561621199,88,6.93,36.95,36.2,62
Kinablangan,100,PH,1561621200,76.2,3.15,7.69,126.55,89
Rikitea,0,PF,1561621145,74.04,13.44,-23.12,-134.97,84
Bluff,68,AU,1561621200,66.12,14.63,-23.58,149.07,67
Severodvinsk,40,RU,1561621201,64.4,8.95,64.56,39.82,48
Busselton,93,AU,1561621201,53.01,27.6,-33.64,115.35,80
Killam,65,CA,1561621201,53.34,4.21,52.79,-111.86,87
Dingle,100,PH,1561621202,78.9,4.79,11,122.67,86
Vaini,75,IN,1561621141,78.8,13.87,15.34,74.49,74
Skjervoy,75,NO,1561621202,46.4,20.8,70.03,20.97,65
Hobart,0,AU,1561620856,51.8,6.93,-42.88,147.33,66
Kushikino,75,JP,1561621203,78.8,5.82,31.72,130.27,88
Valparaiso,90,US,1561621203,70,5.82,41.47,-87.06,55
Port Hardy,40,CA,1561621204,51.8,1.32,50.7,-127.42,93
Jalu,0,LY,1561621204,90.6,10.33,29.03,21.55,40
Chernyshevskiy,67,RU,1561621204,83.76,6.4,63.01,112.47,28
Bredasdorp,34,ZA,1561621142,46.4,3.36,-34.53,20.04,93
Ulladulla,20,AU,1561621205,57.99,4.7,-35.36,150.48,76
Airai,33,TL,1561621205,72.96,3.49,-8.93,125.41,64
Punta Arenas,40,CL,1561621205,30.2,13.87,-53.16,-70.91,63
Muskegon,1,US,1561621206,66,6.93,43.23,-86.25,87
Nikolskoye,75,RU,1561621206,66.99,6.71,59.7,30.79,82
Waipawa,0,NZ,1561621251,37.99,2.08,-39.94,176.59,93
Saskylakh,0,RU,1561621251,62.52,11.3,71.97,114.09,28
Buritizeiro,6,BR,1561621252,61.08,0.31,-17.37,-44.96,71
Chara,20,GR,1561621252,87.01,6.93,39.42,22.43,40
Albany,90,US,1561621143,66.2,4.97,42.65,-73.75,100
Longyearbyen,40,NO,1561621253,39.2,12.75,78.22,15.63,96
Necochea,98,AR,1561621222,48.99,11.99,-38.55,-58.74,55
